Date,Vorgod Å - Vandmøllen (055416),Skjern Å - Sandfeldvej (055414),Skjern Å - Alergaard (001862),Skjern Å - Gjaldbæk bro (017898),Rind Å - Arnborg kirke (054757),Omme Å - Sønderskov bro (001855),Fjederholt Å - A18 (052386)
2020-07-04T01:00:00Z,0.6322402572631841,0.892780685424805,-4.54998067855835,0.7801499938964841,0.767284240722656,-1.869214370727539,0.458
2020-07-04T00:45:00Z,0.62824047088623,0.8899755859375,-4.550968685150139,0.7825296783447271,0.7657318878173831,-1.8701283721923831,0.456
2020-07-04T00:30:00Z,0.625014610290527,0.8879201507568361,-4.55787412643432,0.77652702331543,0.7634032440185551,-1.8710541992187502,0.455
2020-07-04T00:15:00Z,0.619547080993652,0.885808944702148,-4.5581503868103,0.781261978149414,0.7622389984130861,-1.871744659423828,0.453
2020-07-04T00:00:00Z,0.615710716247559,0.884817886352539,-4.55826612472534,0.7818326568603521,0.759522323608398,-1.8725443725585942,0.453
2020-07-03T23:45:00Z,0.6117538833618159,0.8833405303955081,-4.55706075668335,0.775935363769531,0.7587461090087889,-1.8737633209228521,0.452
2020-07-03T23:30:00Z,0.608883247375488,0.882173690795898,-4.55874464035034,0.776503067016602,0.755835342407227,-1.8743852691650391,0.451
2020-07-03T23:15:00Z,0.6060000228881841,0.880902786254883,-4.56058065414428,0.779479598999023,0.755059204101563,-1.8747812347412112,0.451
2020-07-03T23:00:00Z,0.602002372741699,0.879794311523438,-4.56204465866089,0.7726822662353521,0.7523425292968751,-1.8751831512451171,0.45
2020-07-03T22:45:00Z,0.600975608825684,0.878450164794922,-4.55914197921753,0.779511337280273,0.75195442199707,-1.875416381835937,0.449
2020-07-03T22:30:00Z,0.597638053894043,0.87747428894043,-4.563581905364989,0.773004684448242,0.750402069091797,-1.8759012298583981,0.448
2020-07-03T22:15:00Z,0.59549976348877,0.875836715698242,-4.56364744186401,0.773659286499023,0.749431762695313,-1.8757890777587891,0.447
2020-07-03T22:00:00Z,0.595808982849121,0.8744632720947271,-4.56012250900268,0.771242218017578,0.748267517089844,-1.8756805877685552,0.447
2020-07-03T21:45:00Z,0.5908856582641601,0.8726805877685551,-4.5650835227966295,0.7751433563232419,0.7480734252929689,-1.875515411376953,0.447
2020-07-03T21:30:00Z,0.5886786270141601,0.871600036621094,-4.56239767074585,0.772727355957031,0.749237670898438,-1.875371063232422,0.446
2020-07-03T21:15:00Z,0.5876170730590821,0.87065673828125,-4.56427083969116,0.772363433837891,0.747879409790039,-1.875424850463867,0.446
2020-07-03T21:00:00Z,0.585328712463379,0.86943603515625,-4.55974843978881,0.772854843139648,0.7469091796875,-1.8763699798583982,0.447
2020-07-03T20:45:00Z,0.584942741394043,0.8683799743652341,-4.56701612472534,0.772905731201172,0.745162734985352,-1.8758603363037112,0.446
2020-07-03T20:30:00Z,0.583452568054199,0.867500152587891,-4.55820142745971,0.771919021606445,0.74671516418457,-1.8759019927978522,0.447
2020-07-03T20:15:00Z,0.583022727966309,0.866624603271484,-4.56314207077026,0.772451553344727,0.7455507659912111,-1.8758363800048832,0.446
2020-07-03T20:00:00Z,0.58208667755127,0.865833435058594,-4.5637018394470195,0.7749420166015629,0.747685394287109,-1.8757128601074222,0.446
2020-07-03T19:45:00Z,0.582057685852051,0.865432586669922,-4.564192333221429,0.7709961700439449,0.744192504882813,-1.875847900390625,0.445
2020-07-03T19:30:00Z,0.581357154846191,0.86513671875,-4.5635352897644,0.773715057373047,0.744968643188477,-1.8756719665527342,0.445
2020-07-03T19:15:00Z,0.5804133987426761,0.864952850341797,-4.56607862472534,0.7743077850341801,0.743222274780273,-1.8756766967773442,0.445
